data_atendimento;Gabapentina;Lamotrigina;Levetiracetam;Topiramato;Vigabatrina;Total
2014-06-01 00:00:00;0;1;0;2;0;3
2014-07-01 00:00:00;1;1;0;8;0;10
2014-08-01 00:00:00;1;0;0;2;0;3
2014-09-01 00:00:00;1;0;0;7;0;8
2014-10-01 00:00:00;3;1;0;10;0;14
2014-11-01 00:00:00;121;5;0;14;1;141
2014-12-01 00:00:00;40;7;0;6;0;53
2015-01-01 00:00:00;6;9;0;4;38;57
2015-02-01 00:00:00;2;0;0;2;14;18
2015-03-01 00:00:00;1;3;0;12;2;18
2015-04-01 00:00:00;2;1;0;20;5;28
2015-05-01 00:00:00;3;1;0;35;1;40
2015-06-01 00:00:00;1;65;0;25;2;93
2015-07-01 00:00:00;0;92;0;18;2;112
2015-08-01 00:00:00;84;56;0;7;0;147
2015-09-01 00:00:00;101;30;0;6;4;141
2015-10-01 00:00:00;18;21;0;10;0;49
2015-11-01 00:00:00;9;15;0;9;0;33
2015-12-01 00:00:00;3;26;0;5;1;35
2016-01-01 00:00:00;4;11;0;7;0;22
2016-02-01 00:00:00;7;16;0;5;2;30
2016-03-01 00:00:00;10;12;0;5;0;27
2016-04-01 00:00:00;1;3;0;2;0;6
2016-05-01 00:00:00;0;9;0;1;0;10
2016-06-01 00:00:00;2;14;0;3;0;19
2016-07-01 00:00:00;2;7;0;0;0;9
2016-08-01 00:00:00;21;12;0;0;0;33
2016-09-01 00:00:00;21;2;0;0;0;23
2016-10-01 00:00:00;2;4;0;1;0;7
2016-11-01 00:00:00;1;1;0;0;0;2
2016-12-01 00:00:00;2;0;0;1;0;3
2017-01-01 00:00:00;17;0;0;0;0;17
2017-02-01 00:00:00;25;7;0;0;0;32
2017-03-01 00:00:00;4;25;0;2;0;31
2017-04-01 00:00:00;0;1;0;0;0;1
2017-05-01 00:00:00;1;0;0;0;0;1
2017-07-01 00:00:00;92;1;0;1;0;94
2017-08-01 00:00:00;52;0;0;0;0;52
2017-09-01 00:00:00;21;0;0;1;0;22
2017-10-01 00:00:00;4;0;0;1;0;5
2017-11-01 00:00:00;0;84;0;5;0;89
2017-12-01 00:00:00;0;128;0;1;1;130
2018-01-01 00:00:00;0;56;0;2;1;59
2018-02-01 00:00:00;35;25;0;0;1;61
2018-03-01 00:00:00;52;10;0;1;0;63
2018-04-01 00:00:00;21;1;0;1;0;23
2018-05-01 00:00:00;5;0;0;0;0;5
2018-06-01 00:00:00;1;70;0;32;1;104
2018-07-01 00:00:00;0;106;0;22;0;128
2018-08-01 00:00:00;7;46;0;27;0;80
2018-09-01 00:00:00;17;8;0;11;0;36
2018-10-01 00:00:00;16;9;0;5;0;30
2018-11-01 00:00:00;2;4;0;4;0;10
2018-12-01 00:00:00;1;5;0;3;0;9
2019-01-01 00:00:00;6;13;0;5;2;26
2019-02-01 00:00:00;2;9;0;3;6;20
2019-03-01 00:00:00;0;5;0;4;1;10
