;Iteracao;Valor_Agregado
0;1;6084285256.999815
1;2;5965949333.459194
2;3;6320198951.506493
3;4;6121129724.760084
4;5;6410858023.753063
5;6;5619203572.259638
6;7;6008983551.000618
7;8;6048091975.4213085
8;9;6203078046.652828
9;10;6125941560.67841
10;11;5643948434.390001
11;12;6103250959.86849
12;13;6487484243.936826
13;14;6858396131.173046
14;15;6256725100.449907
15;16;6026177177.547295
16;17;6531992410.768799
17;18;5999047959.040521
18;19;6384078767.418899
19;20;6033984372.012936
20;21;6091479833.341421
21;22;6552905155.33597
22;23;6060447356.546988
23;24;6312520101.533618
24;25;5236310151.262133
25;26;6867866571.650117
26;27;6247972488.488083
27;28;5989665095.703863
28;29;6726516239.56497
29;30;6466842865.99261
30;31;6827967150.8755665
31;32;6638811253.0088825
32;33;5992494943.970891
33;34;6474700151.866585
34;35;6396798991.676941
35;36;5938307848.04573
36;37;5883821609.4915695
37;38;6146786595.306234
38;39;6814747026.90121
39;40;6338949122.97642
40;41;6181247204.720268
41;42;6070480423.119112
42;43;6285385633.376802
43;44;6714154470.42283
44;45;6599686628.532111
45;46;6296295199.296228
46;47;5894534984.359977
47;48;6627732340.90073
48;49;5874577217.560316
49;50;6037782972.7126045
50;51;6488323581.119282
51;52;6604574373.072332
52;53;6644271669.568173
53;54;5943407296.251061
54;55;5960116936.773938
55;56;6141372704.719457
56;57;5795299174.465347
57;58;6786375770.684447
58;59;6016345993.085681
59;60;6438473299.448187
60;61;6903812271.875101
61;62;6623599991.270716
62;63;7338518633.596497
63;64;6471484532.820851
64;65;6585048003.855316
65;66;6347126349.582982
66;67;6548703806.532372
67;68;7138503413.149026
68;69;5736217142.595607
69;70;6204459605.140433
70;71;6476675765.943464
71;72;6612251010.117772
72;73;6424234117.527576
73;74;6303986004.115277
74;75;6367218862.162549
75;76;5853625836.010219
76;77;6425919203.503944
77;78;5474944319.604344
78;79;6173119780.405129
79;80;6284881184.227852
80;81;6517900690.212646
81;82;6267915965.240461
82;83;6144685833.9991455
83;84;6409112638.588064
84;85;6795075670.711759
85;86;6611932863.641016
86;87;6169899866.303156
87;88;6607312991.326507
88;89;6369353292.807026
89;90;6154244816.945591
90;91;6364208393.649051
91;92;6097509435.806047
92;93;6598857987.608541
93;94;5655627955.582509
94;95;6267157046.711114
95;96;6235729699.850032
96;97;6291258653.864199
97;98;5493282069.179977
98;99;6324876478.61065
99;100;6954350129.127522
100;101;6158294470.259972
101;102;5865511626.5516205
102;103;6394353400.572881
103;104;6424143537.583732
104;105;6115611823.611318
105;106;6351971327.45377
106;107;6224660988.301266
107;108;6520960469.121777
108;109;6606276171.757798
109;110;6099180462.323323
110;111;6156996776.376816
111;112;6575666137.653332
112;113;6198037264.149597
113;114;5985220750.045743
114;115;6135489460.560718
115;116;6561454858.987394
116;117;6299145423.831173
117;118;6348313524.123165
118;119;6117859246.71054
119;120;6256543987.860808
120;121;6758636175.394054
121;122;5935618431.896762
122;123;6287276959.890512
123;124;5734088258.627193
124;125;6000276948.916621
125;126;6463679153.28371
126;127;5893876593.720371
127;128;6469231247.133737
128;129;6317913380.784187
129;130;5777114224.512093
130;131;6517442496.297941
131;132;6681951024.83157
132;133;6024371523.091977
133;134;6678228246.597118
134;135;6358372573.290954
135;136;6731588576.975603
136;137;6255762192.637306
137;138;5923292480.610292
138;139;6986701230.349495
139;140;6165242274.80642
140;141;6567523549.094051
141;142;6036757314.286299
142;143;6570196382.089018
143;144;5993910468.773671
144;145;6444927097.187145
145;146;6639704525.984802
146;147;6080090436.599203
147;148;6423880125.8809805
148;149;6328615209.52818
149;150;6447977300.308263
150;151;6156831521.004365
151;152;6907978428.644952
152;153;6694573206.459425
153;154;6404923210.578587
154;155;6521246234.227358
155;156;6503241379.49036
156;157;6287151730.693755
157;158;6706765328.981652
158;159;5886505744.860601
159;160;6432591151.380608
160;161;6018789487.365276
161;162;5803064379.349953
162;163;6014893251.839811
163;164;6760434389.997398
164;165;6105329159.970572
165;166;6268890341.461487
166;167;5587811795.217291
167;168;6131032394.88662
168;169;6181207876.467588
169;170;6415331037.908204
170;171;6365415889.780823
171;172;6031710819.99057
172;173;6435080821.4275255
173;174;7073223786.740162
174;175;6851475664.882103
175;176;6112351016.695615
176;177;6700988268.174406
177;178;6680429235.012522
178;179;6689561850.704344
179;180;6492941932.343513
180;181;6152697986.035132
181;182;6522788888.998211
182;183;6139710532.290882
183;184;6118610806.8836355
184;185;6761592516.094137
185;186;5951298195.022899
186;187;6161476824.729291
187;188;5972626291.365408
188;189;6399937035.021301
189;190;6699308316.892242
190;191;6596843783.086733
191;192;6027319980.876355
192;193;6724456501.218399
193;194;6719691572.800752
194;195;6008351829.95158
195;196;6262781210.238565
196;197;6250696206.510404
197;198;6495205735.540132
198;199;6064850093.488254
199;200;6081779380.42462
200;201;6318069621.80581
201;202;6007523825.621292
202;203;6361445791.089828
203;204;6350866147.212643
204;205;6672224918.006344
205;206;6968566644.885429
206;207;6233310785.811155
207;208;6415284330.722976
208;209;6822710992.405817
209;210;6772220806.580444
210;211;6425222172.162188
211;212;6629636631.168928
212;213;6148382625.44781
213;214;6177326701.895008
214;215;6060825888.972768
215;216;5289664158.009281
216;217;6439869018.645424
217;218;6614536508.944176
218;219;6593413488.98007
219;220;6203153033.042355
220;221;6454235214.15321
221;222;6390576957.247176
222;223;5863204246.438935
223;224;6554614420.366349
224;225;6466533196.761469
225;226;6446778642.651889
226;227;5975075535.909363
227;228;6360703609.987436
228;229;6596938084.1519375
229;230;6071441440.195072
230;231;6949746245.154393
231;232;6277064843.984657
232;233;6085080650.276469
233;234;6186045385.578428
234;235;6309820611.035224
235;236;6332370357.903863
236;237;6521703849.449603
237;238;5819047995.234975
238;239;6479057403.80317
239;240;6389308533.568901
240;241;6749619170.570214
241;242;6974542957.121596
242;243;6694619687.777834
243;244;6506519993.286268
244;245;6411481725.605502
245;246;6848612729.94276
246;247;6479070647.533264
247;248;6774433248.225614
248;249;6304290075.362858
249;250;6916989086.387261
250;251;6850630878.808609
251;252;6397901155.469909
252;253;6429836451.11778
253;254;6650539851.231489
254;255;6016280864.065893
255;256;5768040220.824108
256;257;5941482963.063334
257;258;5959231144.114084
258;259;6082828468.118779
259;260;6441747377.287433
260;261;6849607572.7905655
261;262;6065562804.625414
262;263;6484372473.70568
263;264;6326758097.511473
264;265;6079757534.6844225
265;266;6868017465.127975
266;267;6090445917.945604
267;268;6615485292.490179
268;269;6313790418.930983
269;270;6059141272.891209
270;271;6357799746.238272
271;272;5913380285.013261
272;273;6871859175.40873
273;274;6543668839.94634
274;275;6642515777.990808
275;276;5873214097.788391
276;277;5869991434.7885475
277;278;5733046086.720855
278;279;7283237761.646702
279;280;6041619747.564308
280;281;6320555730.522528
281;282;6895639612.02927
282;283;6852619687.880033
283;284;5947782037.50197
284;285;6208840882.063486
285;286;6543646088.327261
286;287;6142766682.719547
287;288;6128755922.208503
288;289;6073107805.837589
289;290;6706209385.635133
290;291;5887620655.983753
291;292;6989765213.883526
292;293;6948108280.905239
293;294;6318228143.170723
294;295;6136982910.243895
295;296;6329557076.332451
296;297;6126458939.396784
297;298;6348109693.085682
298;299;5865812733.5519705
299;300;6015655754.279964
300;301;6139612559.443404
301;302;6546893534.805821
302;303;6672295273.588361
303;304;6525242894.109861
304;305;6133823248.587315
305;306;5888674454.495885
306;307;6076061542.397408
307;308;6090284864.432946
308;309;5622659694.181764
309;310;6305217837.269099
310;311;6492941645.798682
311;312;5725752306.174147
312;313;6076583221.436634
313;314;6799316223.043191
314;315;6182714506.944826
315;316;6500551020.56912
316;317;6556733227.522146
317;318;6385011296.848259
318;319;6206968336.947777
319;320;6374550961.643109
320;321;6224494025.650738
321;322;6815858109.506072
322;323;6588851826.250848
323;324;6300298348.19225
324;325;6401203263.136164
325;326;6015744501.387758
326;327;6621739839.6453
327;328;6603486055.755805
328;329;6769049110.381336
329;330;6710550043.912148
330;331;6875636377.323426
331;332;6263530962.208947
332;333;6151054413.816193
