;Iteracao;Ano;Custo_Acumulado
0;0;2024;40841434.1399999
1;0;2025;209641679.6499974
2;0;2026;520490900.0200237
3;0;2027;969201150.4600796
4;0;2028;1557209122.3201523
5;1;2024;36553541.249999866
6;1;2025;197527692.01999718
7;1;2026;497363272.3100203
8;1;2027;941893893.9500761
9;1;2028;1530346236.2101498
10;2;2024;33284199.689999856
11;2;2025;199653558.0699973
12;2;2026;521502686.1100236
13;2;2027;1000133932.000084
14;2;2028;1620309721.5301623
15;3;2024;33724139.40999986
16;3;2025;190883886.17999727
17;3;2026;492066082.0000194
18;3;2027;942869835.5600746
19;3;2028;1557884246.5101495
20;4;2024;41508780.349999905
21;4;2025;218450089.16999757
22;4;2026;544589298.2000257
23;4;2027;1025766955.9900849
24;4;2028;1663751571.5201635
25;5;2024;35554691.51999986
26;5;2025;184512668.48999712
27;5;2026;456403840.8900152
28;5;2027;866111842.590066
29;5;2028;1428405920.000136
30;6;2024;37443321.27999988
31;6;2025;190787327.26999715
32;6;2026;475516442.1000173
33;6;2027;908347150.4300704
34;6;2028;1514404204.5101452
35;7;2024;38470504.36999991
36;7;2025;208772109.78999752
37;7;2026;521812524.27002335
38;7;2027;979541572.2700797
39;7;2028;1577284590.5001535
40;8;2024;41821592.719999894
41;8;2025;209486912.67999744
42;8;2026;521382141.1800233
43;8;2027;984015643.350081
44;8;2028;1613245247.1201587
45;9;2024;36384210.90999988
46;9;2025;194163607.51999727
47;9;2026;493853361.3100195
48;9;2027;936168560.5900738
49;9;2028;1518063994.6701453
