 Morbidade Hospitalar do SUS - por local de internação - Rio de Janeiro
Internações por Ano processamento
Lista Morb  CID-10: Epilepsia
Período:2014-2023
"Ano processamento";"Internações"
"2014";2208
"2015";2635
"2016";2586
"2017";2879
"2018";3181
"2019";2763
"2020";2234
"2021";2638
"2022";3379
"2023";3510
"Total";28013
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
